"","BART_square_error1","BART_square_error2","BART_square_error3","BART_cover1","BART_cover2","BART_cover3","BART_length1","BART_length2","BART_length3","MICE_square_error1","MICE_square_error2","MICE_square_error3","MICE_cover1","MICE_cover2","MICE_cover3","MICE_length1","MICE_length2","MICE_length3","Cox_square_error1","Cox_square_error2","Cox_square_error3","Cox_cover1","Cox_cover2","Cox_cover3","Cox_length1","Cox_length2","Cox_length3"
"143",0.0344864501656856,0.058274050318406,0.00121890920785526,0,1,1,0.235216058625724,0.690521110413099,0.244858660648031,0.0225885007680629,0.00273081957513463,0.0874931807641184,1,1,0,0.321722525605349,0.61683572909124,0.227914352519746,0.00174374592224646,0.0490878511171214,0.00684936653538231,1,1,1,0.5827110560436,0.936938753321441,0.472777288040767
"144",0.00869543054852912,0.0197218714094807,0.0031407550556734,1,1,1,0.256667939401227,0.533782259764057,0.339419358906076,0.00426901550536105,0.0219765615126896,0.0821405367073519,1,1,0,0.273481200888381,0.509465128794006,0.249719021285292,0.0388572512931675,0.354946535222881,0.00363266904351283,1,0,1,0.539263085930016,0.914088238654337,0.489531268704012
"145",0.0509244433145717,0.0314555689268326,0.0242543670368192,0,1,1,0.210658859037852,0.60826809917586,0.317267807539306,0.0444148690646563,0.0181561125303853,0.0977403920664431,0,1,0,0.271979425318818,0.595063116969291,0.296593216322892,0.00397929141833941,0.0150847382503428,0.0359357095659191,1,1,1,0.558004959631934,0.929015184344985,0.561330723835783
"146",0.0292292272931528,0.077430339819389,0.00682151979343592,0,0,1,0.197840714647386,0.685708101805156,0.278500541457882,0.0091042592510618,0.118951786882612,0.113236897002551,1,0,0,0.240201626476549,0.44573575973757,0.236188290509738,0.0255389456054222,0.22120915781084,0.00915833637255758,1,0,1,0.633617656186613,0.932246931363111,0.558289209478103
"147",0.011854926096543,0.0159886118560023,0.0141970900685968,0,1,1,0.228205043703488,0.487699249170648,0.317572216091464,0.00552253751522863,0.00263998214821162,0.111048609623133,1,1,0,0.288040066903535,0.498710421802076,0.313522967432891,0.0411772574869331,0.00782619703071326,0.0123283556793762,1,1,1,0.557861332524378,0.940692019400924,0.515327229821776
"148",0.00615516814035441,0.00795947683007443,0.00253211049636493,1,1,1,0.198297135279607,0.680247350076793,0.295252170897982,0.00170095864431921,0.0400168291672951,0.104641555835332,1,1,0,0.235592015253367,0.587479445998279,0.251428676799471,0.0546218443904308,0.0252548945915239,0.0179320101422244,1,1,1,0.608095307510675,0.871877273513959,0.467201478005057
"149",0.054617866995121,0.0708822441338752,0.00236530007105936,0,0,1,0.256339900479255,0.453609784410435,0.249369736894677,0.0259808080307616,0.0573092819264227,0.0599882393562095,0,1,0,0.266613355756417,0.535063922882384,0.213650215028702,0.00622954714499429,0.122020614441792,0.00051263297179741,1,1,1,0.555518422279321,0.804669289574548,0.43382290829794
"150",0.035516555072828,0.0130627660956494,0.00224248775987235,0,1,1,0.21311271830411,0.509377082060886,0.255197947278151,0.0167230412722959,0.000372921518918222,0.0481340054784025,1,1,0,0.305939659433763,0.493552430443855,0.216387789533327,0.008404513528434,0.00428166674010078,0.00827556993096586,1,1,1,0.50675827013657,0.815030932913215,0.390531598033141
"151",0.0917679067532716,0.0418551339996067,0.0260273109585475,0,1,0,0.246948646439532,0.656010180361688,0.314562310057709,0.0462491159402186,0.0042309114611225,0.101146480359237,0,1,0,0.281172609844375,0.511054400833663,0.268962067256077,0.0406556900030811,0.156564109787537,0.00181396346130843,1,1,1,0.560867943903292,0.892828243864165,0.41864441961094
"152",0.00065729363115189,0.0462762195681312,0.0180079171757001,1,1,1,0.24756426012639,0.581141842938298,0.329792579840162,0.000624124020369618,0.0541778626389465,0.0651290286435808,1,1,0,0.246825888080908,0.579295765450185,0.255200533106197,0.0054390379769107,0.163391036181874,0.000423101268958364,1,1,1,0.565217666584214,0.882489664925138,0.477031957179304
